frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
89,4,10,1.5,1657504491.6576197,13.371154955799327,143,203,142,134,144,143,129.15054828103646,-135.5523861423985,46.74220211806844,0.6203703703703703,151.00127137114188,174.93342489370397
90,4,10,1.5,1657504491.7324193,14.32378142278047,132,204,119,140,145,144,129.27311893082918,-138.53320352979742,38.09663097069429,0.6180555555555556,155.52808903013914,186.03637910305935
91,4,10,1.5,1657504491.802233,13.369066591868219,116,201,121,141,111,148,129.4502566300248,-232.50666592754789,-43.594999861415225,0.6203703703703703,132.74124762856374,187.97796376516254
92,4,10,1.5,1657504491.8740404,14.323830339457688,104,207,108,142,101,152,129.76729674103206,-199.10942323961692,21.333152489958955,0.6296296296296297,127.92971250596739,192.07432109486894
93,4,10,1.5,1657504491.944864,13.92614432469404,89,209,83,146,95,153,130.1097196754389,-203.36065253987888,23.64658750463708,0.6273148148148148,116.42971250596739,194.47432109486894
94,4,10,1.5,1657504492.018667,14.119573413767101,78,207,78,146,78,152,130.2779007056054,-189.30180482121455,10.516766934511919,0.6342592592592593,105.12971250596738,196.67432109486896
95,4,10,1.5,1657504492.0914717,13.549594252338863,71,205,82,144,61,148,130.3378560108526,-97.4820392781845,-27.85201122233843,0.6481481481481481,93.27070475304963,197.8146045940353
96,4,10,1.5,1657504492.1612868,13.735378972704796,55,204,49,135,62,140,130.41205981768886,-162.40598384845765,-21.183389197624912,0.6574074074074074,80.69476139445429,198.8003511124794
97,4,10,1.5,1657504492.2350879,14.323536844405893,46,202,27,131,65,136,130.68535021908457,-148.54405985247163,-23.210009351948692,0.6666666666666666,62.313372553657516,197.9407591061049
98,4,10,1.5,1657504492.3148754,13.549944434393819,38,201,26,129,50,132,131.04412248265075,-135.49692739212355,-20.324539108818534,0.6689814814814815,38.52356889259558,195.85228855694564
99,4,10,1.5,1657504492.382011,12.533292694223569,30,201,31,129,30,135,131.28441791400945,-120.95958933244894,0.0,0.6712962962962963,27.223568892595573,195.65228855694562
100,4,10,1.5,1657504492.4528205,14.895233089595756,7,202,21,130,-7,133,131.41679018506986,-226.36389972144846,7.302061281337047,0.6712962962962963,14.723568892595575,195.45228855694563
101,4,10,1.5,1657504492.5251396,14.122378340521959,-6,196,0,123,-11,125,131.55023533437915,-210.25852714856345,-23.89301444870039,0.6898148148148148,1.3038108286781778,196.87228046685513
102,4,10,1.5,1657504492.5939555,13.827618947146323,-16,197,-12,129,-19,128,131.8485619061099,-194.1864011811044,-14.384177865266992,0.6898148148148148,-39.68344802501586,193.72507610732222
103,4,10,1.5,1657504492.662772,14.53151558196338,-28,207,-27,141,-28,142,132.21677729534414,-179.57438731567737,149.64532276306448,0.6412037037037037,-51.38344802501585,193.52507610732223
104,4,10,1.5,1657504492.7365746,14.531414891368744,-18,228,-14,182,-21,189,132.61380115831372,-14.12218814078067,218.89391618210038,0.5277777777777778,-60.98344802501585,195.62507610732223
105,4,10,1.5,1657504492.8083825,13.549638024105882,-17,231,-18,183,-16,195,132.8853041677513,-4.685394224893793,159.30340364638897,0.5092592592592593,-69.22444027209812,198.38479260815586
106,4,10,1.5,1657504492.8811893,13.926051848703782,-34,226,-29,177,-38,187,133.0273768732278,-63.10545399834499,101.66989810844471,0.5370370370370371,-77.24849691350278,200.69904608971177
107,4,10,1.5,1657504492.9500036,13.734974162829841,-42,218,-41,168,-43,176,133.0378781632098,-117.96291075025752,-117.96291075025752,0.5671296296296297,-87.43504219628771,195.19070397250454
108,4,10,1.5,1657504493.241764,8.911499122512547,354,214,372,219,336,238,132.8677355638709,1079.0429730158025,-33.372463082962966,0.2175925925925926,-43.245238535225766,198.37917452166383
109,4,10,1.5,1657504493.3110952,9.2402240052168,327,198,340,198,314,206,132.21098438818132,841.679142791708,-65.28259279270866,0.2986111111111111,-13.545238535225769,198.07917452166384
110,4,10,1.5,1657504494.4621797,9.198882353199199,260,221,281,237,239,230,131.33554082284314,186.0766883950352,-3.1645695305278094,0.19444444444444445,11.75476146477423,199.97917452166385
111,4,10,1.5,1657504494.9139962,17.74255281347558,376,196,378,202,374,200,130.52565801907576,257.3101460864249,-55.45477286345364,0.22916666666666666,79.04480702272416,203.28486151688543
